verb,verbs,nouns
shed,"['shed', 'sheds']","['blood', 'nothing', 'light', 'time', 'tear', 'ones', 'documentary', 'thoughts', 'tears', 'cents', 'tail', 'skin', 'lets', 'virus', 'particles', 'fur', 'enmity', 'contracts', 'salary', 'everything', 'institution', 'research']"
home,"['home', 'homing']","['squadron', 'pidgeons']"
pinpoint,"['pinpoint', 'pinpointing']","['time', 'event']"
hinder,"['hinder', 'hinders']","['progress', 'development', 'word', '114a', 'right', 'effects']"
cleans,"['cleans', 'cleansed']","['teeth', 'whom', 'places', 'aura']"
articulate,"['articulate', 'articulates', 'articulated']","['value', 'positions', 'ideas', 'candidate']"
edify,"['edify', 'edifying']","['things', 'nkjv', 'sorts']"
gain,"['gain', 'gains']","['prize', 'pledge', 'trust', 'novices', 'experience', 'awakening', 'stage', 'kind', 'appreciation', 'realisation', 'knowledge', 'one', 'accomplishment', 'power', 'merits', 'concentration', 'attributes', 'form', 'happiness', 'liberation', 'degree', 'site', 'access', 'notariety', 'links', 'weight', 'anyone', 'understanding', 'agreement', 'country', 'posture', 'campaigns', 'momentum', 'citizenship', 'insight', 'living', 'profit', 'sort', 'publicity', 'freedom', 'confidence', 'points', 'auction', 'government', 'bloggers', 'readers', 'outcome', 'loyalty', 'customers', 'nothing', 'favor', 'world', 'spot', 'experiment', 'attention', 'influence', 'models', 'godliness', 'question', 'brand', 'information', 'inertia', 'sway', 'support', 'sympathy', 'acceptance', 'benefits', 'control', 'place', 'senses', 'yards', 'independence', 'prisoner', 'producers', 'clients', 'app', 'users', 'water', 'everybody', 'possibility']"
eat,"['eat', 'eats']","['dinner', 'things', 'brains', 'peanuts', 'morsel', 'morning', 'eggs', 'crabs', 'ants', 'day', 'animal', 'body', 'smell', 'food', 'foods', 'tonnes', 'year', 'bit', 'stick', 'consumers', 'plants', 'kinds', 'organism', 'organisms', 'while', 'meat', 'anything', '%', 'meal', 'days', 'sugar', 'lot', 'tiger', 'way', 'others', 'comment', 'bread', 'greens', 'turtle', 'words', 'everything', 'figs', 'tofurky', 't', 'diet', 'lots', 'breakfast', 'child', 'something', 'animals', 'people', 'bananas', 'rats', 'amounts', 'biscuit', 'pizzas', 'products', 'heart', 'steaks', 'whitefly', 'snow', 'rest', 'chips', 'portions', 'birds', 'seed', 'material', 'pie', 'fruits', 'chunk', 'standing', 'meals', 'apple', 'person', 'one', 'whom', 'grasshopper', 'snake', 'frog', 'devotee', 'prasada', 'foodstuffs', 'wares', 'amount', 'insects']"
grieve,"['grieve', 'grieving']","['tearing', 'acne', 'obesity', 'house']"
limit,"['limit', 'limiting']","['sums', 'everyone', 'nothing', 'flare', 'exactions', 'number', 'ability', 'damage', 'someone', 'intake', 'couples', 'rights', 'influence', 'behavior', 'frequency', 'lots', 'possibilities', 'amount', 'scope', 'impact', 'growth', 'waste', 'fallout', 'taxes', 'constraints', 'development', 'misuse', 'schools', 'life', 'races', 'retransmisssions', 'past', 'sex', 'generality']"
piece,"['piece', 'piecing']","['things', 'facts', 'prints']"
display,"['display', 'displaying']","['photos', 'photo', 'definition', 'buttons', 'robin', 'times', 'signage', 'information', 'data', 'bowlers', 'tendencies', 'waves', 'repulsion', 'power', 'wave', 'pattern', 'modules', 'snapshot', 'agents', 'message', 'shots', 'functionality', 'summary', 'foods', 'use', 'applications', 'images', 'jewels', 'time', 'team', 'up']"
twist,"['twist', 'twisting']","['maze', 'words', 'delineations', 'mind', 'fibres']"
contest,"['contest', 'contested']","['action', 'defendant', 'proceeding', '%', 'tickets', 'seat', 'members', 'seats', 'sepanggar', 'teams', 'efforts']"
portray,"['portray', 'portraying']","['character', 'hundreds', 'occupants', 'walls', 'life', 'movie', 'images', 'horn', 'hunter', 'conflicts', 'media', 'issues', 'mother', 'actress', 'municipality']"
stay,"['stay', 'staying']","['consultants', 'focus', 'course', 'night']"
appoint,"['appoint', 'appointing']","['baaligh', 'experts', 'firms', 'ceos', 'members', 'board', 'member', 'workers', 'accountant', 'ground', 'premier', 'appoint', 'judge', 'jury', 'anyone', 'manager', 'person', 'coaches']"
captain,"['captain', 'captained']","['ship', 'yesterday', 'side']"
calculate,"['calculate', 'calculating']","['expansion', 'means', 'namesi', 'chance', 'growth', 'following', 'probability', 'thiosulfate', 'volume', 'wavelength', 'cost', 'margin', 'geologists', 'scientists', 'path', 'hash', 'h', 'score', 'magnitude', 'profitability']"
unroll,"['unroll', 'unrolls']","['condom', 'way']"
swap,"['swap', 'swaps']","['places', 'wires', 'player', 'cards', 'anyone', 'bonds', 'rags']"
recycle,"['recycle', 'recycling']","['definition', 'ideas']"
sway,"['sway', 'swayed']","['historian', 'ramp']"
collaborate,"['collaborate', 'collaborated']","['universities', 'whom', 'others', 'members']"
rescue,"['rescue', 'rescued']","['aborigines', 'institutions', 'civilians', 'industry', 'friends', 'troops', 'people', 'narrative', 'attack', 'group', 'dad', 'turtle', 'day', 'economy', 'jams', 'paratroopers', 'mum', 'turn', 'person']"
govern,"['govern', 'governs']","['law', 'dispute', 'provisions', 'leases', 'evaluation', 'growths', 'colony', 'relations', 'lives', 'growth', 'use', 'system', 'party', 'trade', 'functioning', 'sahara', 'dentists', 'dynamometer']"
affect,"['affect', 'affects']","['day', 'application', 'people', 'communication', 'production', 'decisions', 'effects', 'bladder', 'capacity', 'preference', 'effectiveness', 'strategies', 'anyone', 'area', 'medicines', 'liver', 'psoriasis', 'seasons', 'lives', 'aspect', 'misdeeds', 'breathing', 'lot', 'shape', 'students', 'truth', 'economy', 'output', 'status', 'activities', 'environment', 'decision', 'color', 'life', 'content', 'visitors', 'movements', 'line', 'scarcity', 'way', 'healing', 'sense', 'notice', 'ground', 'appeals', 'action', 'service', 'job', 'season', 'conditioning', 'partner', 'garden', 'mobility', 'borders', 'ability', 'objects', 'close', 'condition', 'pregnancy', 'outcome', 'feelings', 'emotion', 'change', 'head', 'herpes', 'child', 'changes', 'benefits', 'value', 'home', 'temperatures', 'callouts', 'outlook', 'deal', 'bill', 'organisms', 'hand', 'potency', 'alcohol', 'abilities', 'constitution', 'quality', 'politician', 'trade', 'links', 'level', 'processes', 'emotions', 'lymphoma', 'body', 'cells', 'relation', 'dementia', 'person', 'surfers', 'rash', 'parts', 'supply', 'order', 'layout', 'enjoyment', 'button', 'digit', 'image', 'results', 'users', 'disease', 'men', 'interacts', 'tax', 'media', 'memory', 'pronunciation', 'development', 'dehydration', '%', 'roi', 'relationship']"
enhance,"['enhance', 'enhances', 'enhanced']","['morality', 'representation', 'lives', 'supplies', 'organisation', 'company', 'melody', 'understanding', 'partnerships', 'stays', 'performance', 'individual', 'energy', 'alertness', 'ability', 'color', 'relationship', 'value', 'capacity', 'platform', 'colour', 'agreement', 'trade', 'flavor', 'fertility', 'effectiveness', 'means', 'ambitions', 'sites', 'character', 'setting', 'teaching', 'markets', 'prospects', 'injection', 'immunity', 'quality', 'promotions', 'rehearsal', 'spirit', 'product', 'aptitude', 'faith', 'rightness', 'exhibitions', 'knowledge', 'fragmentation', 'fibre', 'anything', 'spirits', 'version', 'myasylum']"
heading,"['heading', 'headings']","['staircase', 'floor', 'sub']"
force,"['force', 'forces', 'forcing']","['tie', 'children', 'opponent', 'asceticism', 'employers', 'employees', 'pressure', 'constraints', 'choices', 'circumstances', 'muscles', 'fear', 'locals', 'decision', 'issue', 'someone', 'time', 'views', 'professionals', 'government', 'country', 'idea', 'pumps', 'water', 'rule', 'company', 'prayer', 'farmers', 'process', 'tears', 'conditions', 'governments', 'censorship', 'sun', 'recruits', 'crisis', 'king', 'change', 'art', 'ending', 'case', 'issues', 'randomization', 'algorithm', 'today', 'prejudice', 'will', 'selection', 'nobody', 'anyone', 'way', 'lack', 'breadwinners', 'arrest', 'refugees', 'inheritance', 'body', 'people', 'problem', 'democracy', 'women', 'companies', 'clients', 'investors', 'protection', 'eyes']"
crave,"['crave', 'craves', 'craved']","['worldlings', 'predictions', 'blood', 'world', 'permission']"
subordinate,"['subordinate', 'subordinated']","['opinions', 'superintendant', 'world']"
wreck,"['wreck', 'wrecking']","['world', 'a', 'gear', 'havoc', 'campaign', 'head']"
met,"['met', 'meted']","['companions', 'people', 'friend', 'prince', 'week', 'times', 'whom', 'couple', 'demand', 'demands', 'man', 'day', 'problems', 'conditions', 'ruler', 'anyone', 'attorneys', 'u', 'while', 'athletes', 'transition', 'disagreements', 'group', 'expectations', 'goals', 'needs', 'someone', 'lips', 'roofs', 'ladies', 'representatives', 'sides', 'jerk', 'contingent', 'wood', 'report', 'wife', 'challenge', 'person', 'package', 'yesterday', 'problem', 'attacker', 'year', 'delight', 'band', 'night', 'standards', 'mentor', 'control', 'share', 'requirements', 'requirement', 'announcement', 'raiders', 'defences', 'warships', 'force', 'attackers', 'fire', 'resistance', 'powers', 'girl', 'woman', 'leaders', 'today', 'panel', 'relationship', 'officials', 'half', 'time', 'draw', 'ministers', 'girls', 'guests', 'tour', 'torture']"
dry,"['dry', 'drying']","['drops', 'cellos', 'glue', 'rats', 'a', 'forests', 'paint', 'chords', 'film', 'paddy', 'point']"
campaign,"['campaign', 'campaigned']",['people']
circumvent,"['circumvent', 'circumventing']","['mother', 'procedures', 'laws', 'law', 'channels', 'naughtiness']"
call,"['call', 'called']","['mankind', 'names', 'backs', 'muqtadees', 'attention', 'society', 'whom', 'man', 'soldier', 'sir', 'home', 'expert', 't', 'evil', 'butchers', 'opening', 'name', 'people', 'religiousity', 'hop', 'lack', 'tree', 'periods', 'shares', 'option', 'anjula', 'week', 'judges', 'shots', 'skeptics', 'hunters', 'process', 'evidence', 'series', 'champs', 'form', 'producers', 'web', 'outsider', 'goddess', 'excitement', 'spark', 'pitches', 'monster', 'mr', 'development', 'macaroons', 'wisdom', 'trainers', 'burpees', 'tools', 'philosophy', 'pity', 'virtue', 'thing', 'schrewdnesses', 'spirit', 'instrument', 'being', 'galaxies', 'frequency', 'fear', 'cowardice', 'schizophrenia', 'schizophrenias', 'car', 'apartheid', 'cleansing', 'peace', 'one', 'lot', 'candidates', 'time', 'party', 'americans', 'feeling', 'theory', 'sabbath', 'delight', 'laypeople', 'drugs', 'revolution', 'clerics', 'mullahs', 'lol', 'aces', 'player', 'business', 'scheme', 'method', 'police', 'economists', 'leech', 'problem', 'tomorrow', 'day', 'systems', 'inhabitants', 'snow', 'mountain', 'cabs', 'food', 'neuro', 'honour', 'joy', 'tact', 'getaway', 'slut', 'stand', 'paradise', 'someone', 'c', 'coot', 'referendum', 'spade', 'anything', 'journalist', 'fibber', 'liar', 'opposition', 'lie', 'today', 'halt', 'girl', 'species', 'cash', 'store', 'guys', 'style', 'jitters', 'bouncer', 'idiot', 'line', 'customers', 'heart', 'strangers', 'sister', 'voice', 'shenanigans', 'ambulance', 'galaxy', 'script', 'apis', '%', 'somebody', 'months', 'transition', 'reform', 'girls', 'realisation', 'night', 'organization', 'racist', 'forgiveness', 'moment', 'cadets', 'civilizations', 'deaths', 'band', 'victim', 'anyone', 'removal', 'life', 'optifan', 'cups', 'outlet', 'bs', 'bridezilla', 'improvisers', 'uncle', 'function', 'getdate', 'program', 'sleep', 'point', 'thinking', 'kids', 'communication', 'toe', 'portion', 'range', 'shadows', 'values', 'rebate', 'ones', 'hypocrite', 'innovations', 'pledge', 'b', 'focus', 'scenes', 'treasury', 'sanctuaries', 'kingdom', 'puri', 'constable', 'sage', 'upasanta', 'person', 'stage', 'cessation', 'pride', 'consciousness', 'holder', 'toad', 'uddhum', 'sant', 'commendation', 'trainees', 'type', 'bhavagga', 'abodes', 'ass', 'concentration', 'purity', 'visuddhi', 'kind', 'yath', 'desire', 'equanimity', 'conditions', 'things', 'view', 'marriage', 'officer', 'group', 'backdating', 'state', 'meristems', 'tissue', 'cambium', 'developments', 'secularism', 'lymphoma', 'disease', 'lymphocytes', 'types', 'tablets', 'government', 'democracy', 'orih', 'intent', 'setter', 'universities', 'hunt', 'operation', 'trachelectomy', 'frontier', 'madam', 'battleships', 'trustees', 'lump', 'cyst', 'pathologist', 'biopsy', 'localisation', 'hives', 'weals', 'flare', 'bumps', 'friends', 'wife', 'asset', 'account', 'receivables', 'individual(s', 'principal', 'analysis', 'feature', 'collection', 'cycle', 'com', 'dotcom', 'sources', 'agreement', 'deed', 'times', 'interest', 'members', 'subscription', 'right', 'registration', 'pilgrimage', 'exoskeleton', 'cuticle', 'petiole', 'daughter', '""lauto""', 'syndrome', 'rupture', 'angioplasty', 'waves', 'troponin', 'chemical', 'kinase', 'scintigraphy', 'clopidogrel', 'medicine', 'fibrillation', 'leaflet', 'highness', 'bundle', 'it', 'use', 'string', 'selectivity', 'citizens', 'cypriots', 'service', 'single', 'none', 'claim', 'pruning', 'panel', 'dashboard', 'woman', 'enterprise', 'explanation', 'scout', 'land', 'rap', 'office', 'institute', 'keya', 'attack', 'syndromes', 'electrocardiograph', 'house', 'targeting', 'decomposers', 'star', 'natihimsa', 'soul', 'animal', 'period', 'wood', 'moors', 'proenzyme', 'immunoglobulins', 'election', 'wastage', 'weeks', 'philosopher', 'reason', 'year', 'instruction', 'knowledge', 'humanities', 'officials', 'quo', 'speed', 'corpuscles', 'ether', 'wave', 'theorem', 'timbre', 'shakuhachi', 'book', 'claims', 'professionals', 'mother', 'number', 'superstars', 'bowls', 'marketplace', 'milestone', 'conservatives', 'candidate', 'something', 'ranking', 'docid', 'hits', 'docinfo', 'company', 'holdings', 'calendar', 'organism', 'wing', 'course', 'colony', 'poser', 'lo', 'victimns', 'moochers', 'captain', 'presence', 'take', 'news', 'shock', 'gathering', 'law', 'deal', 'nation-', 'way', 'trial', 'hat', 'breeders', 'countertop', 'mob', 'lights', 'soldiers', 'director', 'raticide', 'children', 'figs', 'landmark', 'inductee', 'area', 'results', 'options', 'object', 'author', 'nephritis', 'faith', 'utility', 'chalazae', 'article', 'plankton', 'holdfast', 'pigmy', 'shark', 'denticles', 'litters', 'pups', 'seamerino', 'system', 'constant', 'doll', 'servants', 'summit', 'light', 'reflectance', 'sum', 'rooms', 'morning', 'liquid', 'water', 'malice', 'tests', 'canopy', 'road', 'mozzies', 'imbecile', 'cavemen', 'inderpendants', 'monk', 'family', 'minister', 'female', 'blog', 'notes', 'parties', 'campaigns', 'shedding', 'husband', 'friend', 'team', 'factor', 'merchants', 'century', 'gentlewoman', 'monetisation', 'saying', 'rule', 'regimes', 'cyclooxygenase', 'agreements', 'caddie', 'boss', 'asshole', 'control', 'reservoirs', 'lava', 'ca$inos', 'record', 'album', 'crater', 'boy', 'bear', 'scammer', 'optimism', 'giving', 'conference', 'epidemic', 'colors', 'punch', 'demand', 'festival', 'lawyer', 'settlement', 'arrangement', 'threat', 'organizations', 'yielding', 'nihilism', 'women', 'modes', 'townhouse', 'forces', 'blitzkrieg', 'war', 'sonar', 'arsenal', 'bomber', 'millions', 'treaties', 'movies', 'students', 'arrows', 'scales', 'murder', 'manager', 'fada', 'father', 'hill', 'colleges', 'cnamhcaill', 'avenue', 'amplifier', 'orbitals', '', 'acetylene', 'halides', 'elections', 'witnesses', 'underwent', 'vitrectomy', 'section', 'presumption', 'spring', 'sauce', 'procollagen', 'perms', 'customer', 'coup', 'programme', 'game', 'mice', 'sexsomnia', 'drivers', 'element', 'address', 'teacher', 'tzset', 'candle', 'image', 'axis', 'mirrors', 'dialogue', 'men']"
calm,"['calm', 'calmed']","['masses', 'nerves', 'soul', 'bit']"
recommend,"['recommend', 'recommending']","['specialists', 'radiotherapy', 'novel', 'movie', 'post', 'life', 'ceo', 'hiring', 'doctors', 'adults', 'hundreds', 'guidelines', 'hinterland', 'talk', 'tour', 'wash', 'leaks', 'book', 'visit', 'adviser', 'test', 'hotel', 'companies', 'products', 'economists', 'day', 'setup', 'proposals', 'people', 'sanction', 'manufacturers', 'charities', 'product', 'moisturiser', 'use', 'place', 'agency', 'electrification', 'stances', 'sleep']"
survive,"['survive', 'survives', 'surviving']","['human', 'one', 'seconds', 'box', 'waves', 'squirrels', 'associates', 'overs', 'species', 'millions', 'businesses', 'phase', 'pollution', 'unit', 'trend', 'test', 'rise', 'regime', 'uprising', 'today', 'conflict', 'conditions', 'plants', 'years', 'steve', '""monin""', 'process', 'environments', 'sections', 'termination', 'indemnification', 'plan', 'contact', 'couple', 'adulthood', 'ideas', 'music', 'banks', 'temperatures', 'way', 'governor', 'love', 'firm', 'patient', 'illness', 'life', 'bit', 'transition', 'winter', 'fever']"
type,"['type', 'typing']","['resume', 'killall', 'name', 'electrifies', 'humans', 'password', 'box', 'hint', 'insults', 'day', 'phrase', 'notes', 'article', 'task']"
tell,"['tell', 'tells']","['judges', 'tale', 'partner', 'teacher', 'truth', 'product', 'cost', 'briefly', 'bit', 'pillar', 'customer', 'someone', 'hobbits', 'story', 'history', 'genocide', 'person', 'presence', 'female', 'documentary', 'stories', 'driver', 'community', 'analog', 'markchar', 'colleague', 'owner', 'rider', 'mother', 'horses', 'article', 'head', 'friend', 'something', 'crowd', 'doctor', 'professor', 'scribe', 'gutt', 'commandment', 'profit', 'investor', 'percentage', 'willingness', 'artist', 'doctors', 'lines', 'song', 'lyric', 'man', 'legend', 'people', 'chart', 's', 'daughter', 'government', 'everyone', 'machine', 'expert', 'paper', 'label', 'post', 'team', 'thanks', 'document', 'teachers', 'users', 'press', 'function', 'time', 'system']"
expose,"['expose', 'exposes', 'exposed']","['deeds', 'rancour', 'truth', 'face', 'children', 'system', 'unholy', 'absurdity', 'problems', 'tummy', 'attribute', 'property', 'elements', 'wonder', 'juxtaposition', 'nature', 'core', 'digressions', 'documentary', 'role', 'name', 'behaviour', 'sense', 'absence', 'refugees', 'paper', 'secrets', 'wife', 'shortcomings', 'plots', 'flaw', 'infidelities', 'head', 'shot', 'leaders', 'students', 'criticism', 'weakness', 'malts', 'flavors', 'news', 'files', 'arse', 'residents', 'walls', 'today', 'trade', 'myth', 'years', 'trials', 'evils']"
warp,"['warp', 'warped']","['level', 'bridge', 'room', 'sidewalk']"
warn,"['warn', 'warning']","['analog', 'experts', 'berries', 'everyone', 'people', 'others', 'colleagues', 'mate', 'police']"
warm,"['warm', 'warming']","['climates', 'year', 'light', 'night', 'heart', 'water']"
give,"['give', 'gives', 'giving']","['sh*t', 'feel', 'desires', 'quraysh', 'picture', 'something', 'lesson', 'mother', 'gift', 'property', 'rise', 'hair', 'shine', 'ability', 'will', 'relative', 'charity', 'donation', 'traveller', 'account', 'idea', 'description', 'lenses', 'feeling', 'opportunity', 'people', 'chance', 'letter', 'impression', 'treatment', 'dose', 'doctor', 'distance', 'estimate', 'hint', 'leaflet', 'holder', 'right', 'roundup', 'sense', 'business', 'network', 'lights', 'functionality', 'support', 'range', 'buzz', 'scope', 'rider', 'contact', 'management', 'party', 'advantage', 'pleasure', 'promise', 'professional', 'suggestions', 'silence', 'assent', 'gadfly', 'appearance', 'reader', 'look', 'force', 'option', 'options', 'start', 'fact', 'book', 'witness', 'smack', 'head', 'effect', 'payment', 'statues', 'historian', 'age', 'duration', 'article', 'prominence', 'bit', 'umpire', 'excuses', 'batting', 'game', 'build', 'interface', 'powers', 'cow', 'kinds', 'permission', 'activities', 'qualifications', 'walk', 'perspective', 'argument', 'characteristics', 'mandate', 'stuff', 'clients', 'code', 'tour', 'information', 'members', 'vision', 'outlook', 'task', 'meaning', 'light', 'morality', 'definition', 'content', 'life', 'aspect', 'opportunities', 'goosebumps', 'education', 'inkling', 's', 'r', 'table', 'frequencies', 'control', 'necklace', 'shit', 'thumbs', 'phrase', 'senators', 'states', 'influence', 'emos', 'reputation', 'q', 'sanction', 'commandments', 'events', 'sam', 'money', 'analysis', 'illusion', 'one', 'jack', 'chances', 'space', 'barrier', 'mind', 'rest', 'meeting', 'bag', 'smile', 'cereal', 'energy', 'arrangement', 'sharks', 'maneuverability', 'score', 'power', 'access', 'way', 'painting', 'name', 'character', 'whole', 'media', 'public', 'dust', 'wears', 'work', 'job', 'time', 'birth', 'twins', 'area', 'set', 'version', 'indication', 'stamps', 'places', 'melancholy', 'dude', 'system', 'designer', 'freedom', 'line', 'diversification', 'target', 'police', 'tickets', 'evidence', 'taste', 'f**k', 'forgiveness', 'type', 'family', 'show', 'introduction', 'viewers', 'insight', 'charter', 'makeup', 'hope', 'importance', 'accessories', 'brightness', 'guide', 'instructions', 'house', 'courage', 'scoop', 'quality', 'excitement', 'enemy', 'recall', 'confidence', 'everything', 'win', 'team', 'points', 'defeat', 'commision', 'prowes', 'fembera', 'user', 'overview', 'leaders', 'guidance', 'amount', 'size', 'number', 'sleep', 'intersection', 'location', 'habits', 'privacy', 'results', 'attachment', 'tyre', 'genesis']"
involve,"['involve', 'involves', 'involving']","['public', 'contemplation', 'satipa', 'story', 'community', 'sale', 'worth', 'party', 'entrepreneurs', 'criticisms', 'element', 'reuse', 'changes', 'gravity', 'activities', 'planting', 'destruction', 'referendums', 'tenure', 'procedure', 'thousands', 'conservation', 'steps', 'forage', 'silage', 'grass', 'violations', 'music', 'pain', 'payment', 'householder', 'use', 'name', 'details', 'classification', 'aid', 'controls', 'population', 'agencies', 'submission', 'struggle', 'strategy', 'democracy', 'choice', 'way', 'work', 'calculation', 'years', 'science', 'modeling', 'sentencing', 'adjudication', 'tasks', 'lot', 'sign', 'criteria', 'architecture', 'engineering', 'species', 'questions', 'politics', 'future', 'number', 'gamble', 'activity', 'government', 'clocks', 'corruption', 'money', 'ascent', 'system', 'reaction', 'chase', 'issue', 'beginning', 'stages', 'child', 'clothing', 'project', 'installation', 'breach', 'travel', 'change', 'politicians', 'sums', 'boats', 'carriers', 'body', 'services', 'scientists', 'coverage', 'family', 'participants', 'comments', 'mother', 'people', 'food', 'numbers', 'particles', 'spinning', 'temperatures', 'citizens', 'straps', 'dragon', 'police', 'pilots', 'c', 'priests', 'fax', 'law', 'convoy']"
point,"['point', 'pointed']","['organs', 'things', 'links', 'club', 'royalty', 'bones', 'inaccuracies', 'finger', 'authorities', 'games', 'doubt', 'fans', 'couple', 'hypocrisy', 'location', 'examples', 'fingers', 'gun', 'week', 'lefties', 'arrows', 'replies', 'prevent', 'b', 'aspect', 'something', 'refugee', 'difficulties', 'analysts', 'producer', 'others', 'people', 'error', 'parties', 'sights', 'water', 'year', 'screen', 'scholar', 'theorist', 'responses', 'ways', 'someone', 'route', 'yesterday', 'craig', 'today', 'woman', 'girl', 'hole', 'lawyer', 'errors', 'time', 'structure']"
answer,"['answer', 'answering']","['problems', 'questions']"
construe,"['construe', 'construed']","['world', 'com', 'failure', 'concept', 'nothing', 'feelings']"
summarize,"['summarize', 'summarizes', 'summarizing']","['law', 'events', 'edits', 'report', 'series', 'r', 'changes', 'information', 'points']"
purchase,"['purchase', 'purchased']","['subscription', 'sperms', 'stock', 'tickets', 'debt', 'tour', 'estate', 'product', 'school', 'membership', 'computer', 'application', 'packs', 'name', 'parcel', 'state', 'helicopter']"
attempt,"['attempt', 'attempted']","['blokes', 'shot', 'rescuers', 'itunes', 'people', 'engineer', 'path', 'penance', 'advertisers', 'civilians', 'economics', 'ascent', 'participants', 'operation', 'money', 'step', 'leap', 'win', 'leaders', 'others', 'explanations', 'lout', 'sections', 'time', 'proportions', 'examinations', 'hostages', 'breakout', 'government', 'class', 'calculation', 'state', 'group', 'settlement', 'governments', 'climb', 'team', 'flight', 'nobody', 'undertaking', 'nothing', 'abuse', 'writers', 'navy', 'session']"
maintain,"['maintain', 'maintains']","['part', 'chemicals', 'trays', 'belief', 'helpers', 'relations', 'relatives', 'harmony', 'india', 'record', 'standards', 'quo', 'mindfulness', 'balance', 'dialogue', 'supply', 'honesty', 'standard', 'security', 'amount', 'chapter', 'borrower', 'ownership', 'position', 'culture', 'diet', 'level', 'lifestyle', 'number', 'heap', 'organisms', 'economy', 'status', 'fitness', 'body', 'structure', 'relationship', 'influence', 'outpost', 'relationships', 'rate', 'stay', 'ability', 'patterns', 'things', 'operations', 'strength', 'outcome', 'existence', 'order', 'home', 'temperature', 'stability', 'conditions', 'mother', 'funding', 'pregnancy', 'growth', 'performance', 'infrastructures', 'system', 'view', 'employment', 'gold', 'value', 'eg', 'life', 'kids', 'education', 'edge', 'operation', 'comments', 'consistency', 'ranking', 'men', 'drive', 'peace', 'register', 'calories', 'type', 'shape', 'place', 'certification', 'gap', 'license', 'farmers', 'trees', 'fertility', 'time', 'vessels', 'trusts', 'lessee', 'queue', 'secretary', 'crawler', 'cache', 'information', 'presence', 'embassy', 'tel', 'systems', 'restrictions', 'demand', 'residences', 'site', 'database']"
operate,"['operate', 'operates', 'operating']","['dimensions', 'servers', 'boat', 'subsidiaries', 'life', 'airplanes', 'anything', 'tongue', 'lab', 'tool', 'dispensaries', 'bank', 'companies', 'teams', 'nations', 'budget', 'systems', 'hours', 'countries', 'governance', 'feeding', 'software', 'quarry', 'undermines', 'decade', 'system', 'today', 'kamma', 'selection', 'process', 'firm', 'virus', 'fashion', 'network', 'forums', 'office', 'portion', 'service', 'store', 'judiciary', 'group', 'team', 'version', 'company', 'distances', 'sunrise', 'business']"
befall,"['befall', 'befalls']","['person', 'monarch', 'misfortune']"
better,"['better', 'bettering']","['effort', 'race', 'chances', 'economy', 'situation', 'future']"
persist,"['persist', 'persists']","['symptoms', 'beliefs', 'opponents', 'daddy', 'document', 'concerns', 'rash', 'weeks', 'myth']"
carve,"['carve', 'carving']","['inlets', 'wax', 'niche']"
overcome,"['overcome', 'overcoming']","['problems', 'desires', 'light', 'danger', 'relatives', 'difficulties', 'worry', 'fear', 'concentration', 'shyness', 'challenger', 'misfortune', 'longing', 'hurdle', 'challenges', 'hurdles', 'illness', 'competitions', 'problem', 'number', 'boundaries', 'lead', 'evil', 'errors', 'status', 'objections', 'crisis', 'authors', 'gaps', 'opposition', 'difficulty', 'adversity', 'untruths', 'depression', 'barriers']"
indulge,"['indulge', 'indulging']","['person', 'heads', 'curiosity', 'doggie']"
wage,"['wage', 'waged']","['war', 'warfare', 'wars', 'battle', 'force']"
side,"['side', 'sides', 'sided']","['bit', 'bread', 'east', 'mother', 'b', 'judge']"
bond,"['bond', 'bonded']","['programs', 'collaborators', 'families', 'cats', 'atom', 'moisture']"
contend,"['contend', 'contends']","['government', 'whales', 'bulls', 'respondent']"
quantify,"['quantify', 'quantifying']","['things', 'conditions', 'production']"
surprise,"['surprise', 'surprises', 'surprised']","['one', 'reflection', 'readers', 'day', 'troll', 'week', 'none', 'biologist', 'wife', 'youth', 'world', 'result', 'community', 'anyone', 'seriousness', 'troops', 'season', 'folks']"
resume,"['resume', 'resumes', 'resuming']","['posture', 'ties', 'life', 'search', 'career', 'intercourse', 'work']"
bestow,"['bestow', 'bestowed']","['bounty', 'something', 'mercy', 'teacher', 'man', 'trust', 'gift']"
scrounge,"['scrounge', 'scrounged']","['wood', 'crockery']"
reassure,"['reassure', 'reassuring']","['voters', 'hell']"
hook,"['hook', 'hooked']","['rope', 'gold', 'company', 'cable']"
radiate,"['radiate', 'radiating']","['roads', 'warmth', 'knowledge']"
ditch,"['ditch', 'ditched']","['ego', 'eyes', 'quiffs']"
hoof,"['hoof', 'hoofing']",['hind']
acquaint,"['acquaint', 'acquainted']","['gymnasiums', 'photographers']"
dwell,"['dwell', 'dwelling']","['persons', '%', 'upright', 'slum', 'street']"
lower,"['lower', 'lowers']","['voices', 'risk', 'cost', 'level', 'suspension', 'income', 'moans', 'power', 'cholesterol', 'rent', 'standard', 'warming', 'bit', 'treatment', 'deficiency']"
legalize,"['legalize', 'legalizing']","['marijuana', 'marriage', 'techniques', 'amount']"
matter,"['matter', 'matters']","['mothers', 'humanity', 'lot', 'media', 'performance', 'interpretation', 'nothing', 'words', 'change', 'appearance', 'society']"
espouse,"['espouse', 'espousing']","['freedoms', 'morals', 'religion', 'texts', 'view', 'freedom', 'rantings']"
jeopardise,"['jeopardise', 'jeopardising']","['comments', 'position', 'recovery']"
